Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.0462575405836105,0.6071428571428571,1.2883540391921997,0.5
2,0.5599970892071724,0.8214285714285714,1.0380996465682983,0.75
3,0.24058916792273521,0.9642857142857143,0.4096517264842987,1.0
4,0.23294928669929504,0.9285714285714286,0.318890243768692,0.8333333333333334
5,0.11893514823168516,0.9821428571428571,0.230332612991333,0.8333333333333334
6,0.1189484940841794,0.9821428571428571,0.26301631331443787,0.8333333333333334
